Revista Baiana de Enfermagem,https://periodicos.ufba.br/index.php/enfermagem/oai?verb=Identify,Found:OK,rbaiana@ufba.br,Brazil,0102-5430,2178-8650
Revista Águas Subterrâneas,https://aguassubterraneas.abas.org/asubterraneas/oai?verb=Identify,Found:OK,everton@hidroplan.com.br,Brazil,0101-7004,2179-9784
Perspectiva Teológica,https://www.faje.edu.br/periodicos/index.php/perspectiva/oai?verb=Identify,Found:OK,editor.pt@faje.asav.org.br,Brazil,0102-4469,2176-8757
Distúrbios da Comunicação,https://revistas.pucsp.br/index.php/dic/oai?verb=Identify,Found:OK,revistadic@gmail.com,Brazil,0102-762X,2176-2724
DST,https://www.bjstd.org/revista/oai?verb=Identify,Found:OK,maurodst@gmail.com,Brazil,0103-4065,2177-8264
Revista Sociais e Humanas,https://periodicos.ufsm.br/sociaisehumanas/oai?verb=Identify,Found:OK,rsh@ufsm.br,Brazil,0103-0620,2317-1758
Cadernos de Estudos Lingüísticos,https://periodicos.sbu.unicamp.br/ojs/index.php/cel/oai?verb=Identify,Found:OK,revistacel@iel.unicamp.br,Brazil,0102-5767,2447-0686
Geosul,https://periodicos.ufsc.br/index.php/geosul/oai?verb=Identify,Found:OK,geosul@cfh.ufsc.br,Brazil,0103-3964,2177-5230
Estudos de Religião,https://www.metodista.br/revistas/revistas-ims/index.php/ER/oai?verb=Identify,Found:OK,clarissa.franco@metodista.br,Brazil,0103-801X,2176-1078
Caderno de Geografia,http://periodicos.pucminas.br/index.php/geografia/oai?verb=Identify,Found:OK,cadernodegeografiapucminas@gmail.com,Brazil,0103-8427,2318-2962
Virus Reviews & Research,http://157.86.113.86/index.php/vrrjournal/oai?verb=Identify,Found: NOT!!!,Brazil,1519-2563,2357-9323
Contexto & Educação,https://www.revistas.unijui.edu.br/index.php/contextoeducacao/oai?verb=Identify,Found:OK,revistaseletronicas@unijui.edu.br,Brazil,0102-8758,2179-1309
Revista Teoria e Evidência Econômica,http://seer.upf.br/index.php/rtee/oai?verb=Identify,Found:OK,rtee@upf.br,Brazil,0104-0960,2318-8448
Estudos em Design,https://estudosemdesign.emnuvens.com.br/design/oai?verb=Identify,Found:OK,edesign@puc-rio.br,Brazil,0104-4249,1983-196X
Revista Temas em Educação,https://periodicos.ufpb.br/index.php/rteo/oai?verb=Identify,Found:OK,revistateducppge@ce.ufpb.br,Brazil,0104-2777,2359-7003
Direito em Debate,https://www.revistas.unijui.edu.br/index.php/revistadireitoemdebate/oai?verb=Identify,Found:OK,revistaseletronicas@unijui.edu.br,Brazil,0103-9040,2176-6622
Journal of the Brazilian Computer Society,https://sol.sbc.org.br/journals/index.php/jbcs//oai?verb=Identify,Found:OK,mike.hinchey@lero.ie,Brazil,0104-6500,1678-4804
Movimento,https://www.seer.ufrgs.br/Movimento/oai?verb=Identify,Found:OK,movimento@ufrgs.br,Brazil,0104-754X,1982-8918
ICO Iconographisk post,https://ojs.abo.fi/ojs/index.php/ico//oai?verb=Identify,Found:OK,annette.landen@abo.fi,Finland,0106-1348,2323-5586
Revista Enfermagem UERJ,https://www.e-publicacoes.uerj.br/index.php/enfermagemuerj/oai?verb=Identify,Found:OK,revenf.uerj@gmail.com,Brazil,0104-3552,2764-6149
Perspectiva Filosófica,https://periodicos.ufpe.br/revistas/perspectivafilosofica/oai?verb=Identify,Found:OK,revistaperspectivafilosofica@gmail.com,Brazil,0104-6454,2357-9986
Revista de Educação Pública,https://periodicoscientificos.ufmt.br/ojs/index.php/educacaopublica/oai?verb=Identify,Found:OK,filarrudamonteiro@gmail.com,Brazil,0104-5962,2238-2097
Asian Fisheries Science,https://www.asianfisheriessociety.org/publication/index.php/oai?verb=Identify,Found: NOT!!!,0116-6514,2073-3720
O Eixo e a Roda: Revista de Literatura Brasileira,http://www.periodicos.letras.ufmg.br/index.php/o_eixo_ea_roda/oai?verb=Identify,Found:OK,periodicosfaleufmg@gmail.com,Brazil,0102-4809,2358-9787
Comunicación,https://revistas.upb.edu.co/index.php/comunicacion/oai?verb=Identify,Found:OK,revista.comunicacion@upb.edu.co,Colombia,0120-1166,2390-0075
Boletín Geológico,https://revistas.sgc.gov.co/index.php/boletingeo/oai?verb=Identify,Found:OK,boletingeologico@sgc.gov.co,Colombia,0120-1425,2711-1318
Franciscanum,https://revistas.usb.edu.co/index.php/Franciscanum/oai?verb=Identify,Found:OK,franciscanum@usbbog.edu.co,Colombia,0120-1468,2665-3834
Revista de la Facultad de Derecho y Ciencias Políticas,https://revistas.upb.edu.co/index.php/derecho/oai?verb=Identify,Found:OK,revista.derecho@upb.edu.co,Colombia,0120-3886,2390-0016
Prolegómenos,https://revistas.unimilitar.edu.co/index.php/dere/oai?verb=Identify,Found:OK,derechos.valores@unimilitar.edu.co,Colombia,0121-182X,1909-7727
Temas Socio-Jurídicos,https://revistas.unab.edu.co/index.php/sociojuridico/oai?verb=Identify,Found:OK,temassj@unab.edu.co,Colombia,0120-8578,
Díkaion,http://dikaion.unisabana.edu.co/index.php/dikaion/oai?verb=Identify,Found:OK,carlos.bernal_cont@unisabana.edu.co,Colombia,0120-8942,2027-5366
Revista de la Universidad Industrial de Santander. Salud,https://revistas.uis.edu.co/index.php/revistasaluduis/oai?verb=Identify,Found:OK,saluduis1@uis.edu.co,Colombia,0121-0807,2145-8464
Revista Colombiana de Estadística,https://revistas.unal.edu.co/index.php/estad/oai?verb=Identify,Found:OK,revcoles_fcbog@unal.edu.co,Colombia,,0120-1751
Contaduría Universidad de Antioquia,https://revistas.udea.edu.co/index.php/cont/oai?verb=Identify,Found:OK,jaime.correa@udea.edu.co,Colombia,0120-4203,2590-4604
Revista Colombiana de Química,https://revistas.unal.edu.co/index.php/rcolquim/oai?verb=Identify,Found:OK,rcolquim_fcbog@unal.edu.co,Colombia,0120-2804,2357-3791
Maguaré,https://revistas.unal.edu.co/index.php/maguare/oai?verb=Identify,Found:OK,lmzambranoe@unal.edu.co,Colombia,0120-3045,2256-5752
Cuestiones Teológicas,https://revistas.upb.edu.co/index.php/cuestiones/oai?verb=Identify,Found:OK,revista.cuestionesteologicas@upb.edu.co,Colombia,0120-131X,2389-9980
Informador Técnico,http://revistas.sena.edu.co/index.php/inf_tec/oai?verb=Identify,Found:OK,revistaitastin@sena.edu.co,Colombia,0122-056X,2256-5035
Derecho Penal y Criminología,https://revistas.uexternado.edu.co/index.php/derpen/oai?verb=Identify,Found:OK,revistaderpenal@uexternado.edu.co,Colombia,0121-0483,2346-2108
Revista Visión Contable,https://publicaciones.unaula.edu.co/index.php/VisionContable/oai?verb=Identify,Found:OK,julieth.alzategi@unaula.edu.co,Colombia,0121-5337,2539-0104
Educación y Educadores,http://educacionyeducadores.unisabana.edu.co/index.php/eye/oai?verb=Identify,Found:OK,educacion.educadores@unisabana.edu.co,Colombia,0123-1294,
Panorama Económico,https://revistas.unicartagena.edu.co/index.php/panoramaeconomico/oai?verb=Identify,Found:OK,panoramaeconomico@unicartagena.edu.co,Colombia,0122-8900,2463-0470
Estudios de Filosofía,https://revistas.udea.edu.co/index.php/estudios_de_filosofia/oai?verb=Identify,Found:OK,revistafilosofia@udea.edu.co,Colombia,0121-3628,2256-358X
Repertorio de Medicina y Cirugía,https://revistas.fucsalud.edu.co/index.php/repertorio/oai?verb=Identify,Found:OK,revista.repertorio@fucsalud.edu.co,Colombia,0121-7372,2462-991X
Ingeniería e Investigación,https://revistas.unal.edu.co/index.php/ingeinv/oai?verb=Identify,Found:OK,revii_bog@unal.edu.co,Colombia,0120-5609,2248-8723
Revista de Antropología y Sociología Virajes,https://revistasojs.ucaldas.edu.co/index.php/virajes/oai?verb=Identify,Found:OK,revistavirajes@ucaldas.edu.co,Colombia,0123-4471,2462-9782
Revista Facultad de Odontología Universidad de Antioquia,https://revistas.udea.edu.co/index.php/odont/oai?verb=Identify,Found:OK,revistaodontologia@udea.edu.co,Colombia,0121-246X,2145-7670
Revista Derecho del Estado,https://revistas.uexternado.edu.co/index.php/derest/oai?verb=Identify,Found:OK,derechodelestado@uexternado.edu.co,Colombia,0122-9893,2346-2051
Innovar: Revista de Ciencias Administrativas y Sociales,https://revistas.unal.edu.co/index.php/innovar/oai?verb=Identify,Found:OK,revinnova_bog@unal.edu.co,Colombia,0121-5051,2248-6968
Novum,https://revistas.unal.edu.co/index.php/novum/oai?verb=Identify,Found:OK,rev_novum_fadman@unal.edu.co,Colombia,0121-5698,2357-4933
Estudios de Derecho,https://revistas.udea.edu.co/index.php/red/oai?verb=Identify,Found:OK,revistaestudiosdederecho@udea.edu.co,Colombia,0120-1867,2145-6151
Revista U.D.C.A Actualidad & Divulgación Científica,https://revistas.udca.edu.co/index.php/ruadc/oai?verb=Identify,Found:OK,rev.udca@udca.edu.co,Colombia,0123-4226,2619-2551
Penelitian Gizi dan Makanan,http://ejournal.litbang.depkes.go.id/index.php/pgm/oai?verb=Identify,Found: NOT!!!,Indonesia,0125-9717,2338-8358
Revista de la Facultad de Ciencias de la Salud,http://revistas.unicauca.edu.co/index.php/rfcs/oai?verb=Identify,Found:OK,rfsalud@unicauca.edu.co,Colombia,0124-308X,2538-9971
Revista Colombiana de Biotecnología,https://revistas.unal.edu.co/index.php/biotecnologia/oai?verb=Identify,Found:OK,revcbib_bog@unal.edu.co,Colombia,0123-3475,1909-8758
Reflexión Política,https://revistas.unab.edu.co/index.php/reflexion/oai?verb=Identify,Found:OK,reflepol@unab.edu.co,Colombia,0124-0781,2590-8669
Affectio Societatis,https://revistas.udea.edu.co/index.php/affectiosocietatis/oai?verb=Identify,Found:OK,revistaaffectiosocietatis@udea.edu.co,Colombia,0123-8884,
Estudios de Literatura Colombiana,https://revistas.udea.edu.co/index.php/elc/oai?verb=Identify,Found:OK,revistaelc@udea.edu.co,Colombia,0123-4412,2665-3273
Ingenium: Revista de la Facultad de Ingeniería,http://www.revistas.usb.edu.co/index.php/Ingenium/oai?verb=Identify,Found:OK,ingenium@usb.edu.co,Colombia,0124-7492,
Análisis,https://revistas.usantotomas.edu.co/index.php/analisis/oai?verb=Identify,Found:OK,johanmendoza@usta.edu.co,Colombia,0120-8454,2145-9169
Revista Activos,https://revistas.usantotomas.edu.co/index.php/activos//oai?verb=Identify,Found:OK,carlosricob@usta.edu.co,Colombia,0124-5805,2500-5278
Revista de Economía Institucional,https://revistas.uexternado.edu.co/index.php/ecoins/oai?verb=Identify,Found:OK,ecoinstitucional@uexternado.edu.co,Colombia,0124-5996,2346-2450
Anuário do Instituto de Geociências,https://revistas.ufrj.br/index.php/aigeo/oai?verb=Identify,Found:OK,claudine@acd.ufrj.br,Brazil,0101-9759,1982-3908
Dixi,https://revistas.ucc.edu.co/index.php/di/oai?verb=Identify,Found:OK,dixi@ucc.edu.co,Colombia,0124-7255,2357-5891
Biociencias,https://revistas.unilibre.edu.co/index.php/biociencias/oai?verb=Identify,Found:OK,biociencias.baq@unilibre.edu.co,Colombia,0124-0110,2390-0512
Dictamen Libre,https://revistas.unilibre.edu.co/index.php/dictamenlibre/oai?verb=Identify,Found:OK,liliam.mendozav@unilibre.edu.co,Colombia,0124-0099,
KKU Engineering Journal,https://www.tci-thaijo.org/index.php/kkuenj/oai?verb=Identify,Found: NOT!!!,Thailand,0125-8273,2286-9433
Territorios,https://revistas.urosario.edu.co/index.php/territorios/oai?verb=Identify,Found:OK,revistaterritorios@gmail.com,Colombia,0123-8418,2215-7484
Jurnal Ilmiah Bisnis dan Ekonomi Asia,https://jurnal.stie.asia.ac.id/index.php/jibeka//oai?verb=Identify,Found:OK,agusps@asia.ac.id,Indonesia,0126-1258,2620-875X
International Journal of Engineering Materials and Manufacture,https://deerhillpublishing.com/index.php/ijemm/oai?verb=Identify,Found:OK,editor@deerhillpublishing.com,Malaysia,,0128-1852
Journal of the Medical Sciences,https://jurnal.ugm.ac.id/bik/oai?verb=Identify,Found:OK,jmedscie@ugm.ac.id,Indonesia,0126-1312,2356-3931
Contributions of Central Research Institute for Agriculture,https://ejournal.cria.or.id/index.php/ccria/oai?verb=Identify,Found:OK,publisher@cria.or.id,Indonesia,0126-1894,2962-9217
Journal of the Institution of Engineers Malaysia,https://iemjournal.com.my/index.php/oai?verb=Identify,Found: NOT!!!,Malaysia,0126-513X,
Baltistica,http://www.baltistica.lt/index.php/baltistica/oai?verb=Identify,Found:OK,bonifacas.stundzia@flf.vu.lt,Lithuania,0132-6503,2345-0045
Studia Romanica Posnaniensia,http://pressto.amu.edu.pl/index.php/srp/oai?verb=Identify,Found:OK,annas@amu.edu.pl,Poland,0137-2475,2084-4158
Nueva Revista de Filología Hispánica,http://nrfh.colmex.mx/index.php/NRFH/oai?verb=Identify,Found:OK,nrfh@colmex.mx,Mexico,0185-0121,2448-6558
Estudios de Asia y África,http://estudiosdeasiayafrica.colmex.mx/index.php/eaa/oai?verb=Identify,Found:OK,maleb@colmex.mx,Mexico,0185-0164,2448-654X
Estudios Económicos,https://estudioseconomicos.colmex.mx/index.php/economicos/inicio/oai?verb=Identify,Found: NOT!!!,Mexico,0188-6916,0186-7202
Iztapalapa,https://revistaiztapalapa.izt.uam.mx/index.php/izt/oai?verb=Identify,Found:OK,alicia.lindon@gmail.com,Mexico,0185-4259,2007-9176
Ciencias Marinas,http://www.cienciasmarinas.com.mx/index.php/cmarinas/oai?verb=Identify,Found:OK,cmarinas.editor@uabc.edu.mx,Mexico,0185-3880,2395-9053
Collectanea Theologica,https://czasopisma.uksw.edu.pl/index.php/ct/oai?verb=Identify,Found:OK,b.adamczewski@uksw.edu.pl,Poland,0137-6985,
Archives of Acoustics,https://acoustics.ippt.pan.pl/index.php/aa/oai?verb=Identify,Found:OK,akustyka@ippt.pan.pl,Poland,0137-5075,2300-262X
Menara Perkebunan,http://mp.iribb.org/index.php/mpjurnal/oai?verb=Identify,Found:OK,menaraperkebunan@iribb.org,Indonesia,0125-9318,1858-3768
Acta Universitaria,http://www.actauniversitaria.ugto.mx/index.php/acta/oai?verb=Identify,Found:OK,actauniversitaria@gmail.com,Mexico,0188-6266,2007-9621
Studia Warmińskie,https://czasopisma.uwm.edu.pl/index.php/sw/oai?verb=Identify,Found:OK,zdzislaw.kieliszek@uwm.edu.pl,Poland,0137-6624,
Secuencia. Revista de Historia y Ciencias sociales,http://secuencia.mora.edu.mx/index.php/Secuencia/oai?verb=Identify,Found:OK,secuencia@mora.edu.mx,Mexico,0186-0348,2395-8464
Névtani Értesítő,https://ojs.mtak.hu/index.php/nevtert/oai?verb=Identify,Found:OK,sliz.marianna@btk.elte.hu,Hungary,0139-2190,2064-7484
Revista Juridica,http://revista.unicuritiba.edu.br/index.php/RevJur/oai?verb=Identify,Found: NOT!!!,Brazil,0103-3506,2316-753X
Alimentos e Nutrição,http://serv-bib.fcfar.unesp.br/seer/index.php/alimentos/oai?verb=Identify,Found: NOT!!!,Brazil,0103-4235,2179-4448
Journal of Wildlife and Parks,https://jwp.wildlife.gov.my/index.php/jwp/oai?verb=Identify,Found:OK,knizam@wildlife.gov.my,Malaysia,0127-8126,
Celestinesca,https://ojs.uv.es/index.php/celestinesca/oai?verb=Identify,Found:OK,celestinesca@uv.es,Spain,0147-3085,2695-7183
Lubelski Rocznik Pedagogiczny,https://journals.umcs.pl/lrp/oai?verb=Identify,Found:OK,magdalena.boczkowska@mail.umcs.pl,Poland,0137-6136,2449-8327
Revista Mexicana de Ciencias Políticas y Sociales,http://www.revistas.unam.mx/index.php/rmcpys//oai?verb=Identify,Found:OK,edi_asociadorevmcpys@politicas.unam.mx,Mexico,0185-1918,2448-492X
Rusycystyczne Studia Literaturoznawcze,https://journals.us.edu.pl/index.php/RSL/oai?verb=Identify,Found:OK,beata.pawletko@us.edu.pl,Poland,0208-5038,2353-9674
Studia Praehistorica,https://publications.naim.bg/index.php/stprae//oai?verb=Identify,Found:OK,krum.bacvarov@naim.bg,Bulgaria,0204-9880,2815-2697
Socjolingwistyka,https://socjolingwistyka.ijp.pan.pl/index.php/SOCJO/oai?verb=Identify,Found:OK,katarzyna.skowronek@ijp.pan.pl,Poland,0208-6808,2545-0468
Revista de la Asociación Española de Neuropsiquiatría,http://www.revistaaen.es/index.php/aen/about/oai?verb=Identify,Found: NOT!!!,Spain,0211-5735,2340-2733
Kościół i Prawo,http://czasopisma.tnkul.pl/index.php/kip/oai?verb=Identify,Found: NOT!!!,Poland,0208-7928,2544-5804
Problemy Prawa Karnego,https://www.journals.us.edu.pl/index.php/ppk/oai?verb=Identify,Found:OK,problemypk@us.edu.pl,Poland,0208-5577,2353-9712
Buletin Penelitian Tanaman Rempah dan Obat,http://ejurnal.litbang.pertanian.go.id/index.php/bultro/oai?verb=Identify,Found: NOT!!!,Indonesia,0215-0824,2527-4414
Llengua & Literatura,http://revistes.iec.cat/index.php/LLiL/oai?verb=Identify,Found:OK,lil.secretaria@correu.iec.cat,Spain,0213-6554,2013-9527
Erebea,http://www.uhu.es/publicaciones/ojs/index.php/erebea/oai?verb=Identify,Found:OK,erebea@uhu.es,Spain,0214-0691,2530-8254
Anàlisi: Quaderns de Comunicació i Cultura,https://analisi.cat/oai?verb=Identify,Found:OK,revista.analisi@uab.cat,Spain,0211-2175,2340-5236
Extracta Mathematicae,https://publicaciones.unex.es/index.php/EM/oai?verb=Identify,Found:OK,extracta@unex.es,Spain,0213-8743,2605-5686
El Guiniguada,https://ojsspdc.ulpgc.es/ojs/index.php/ElGuiniguada/oai?verb=Identify,Found:OK,revistaelguiniguada@ulpgc.es,Spain,0213-0610,2386-3374
Anuario de la Facultad de Derecho Universidad de Extremadura,https://publicaciones.unex.es/index.php/AFD/oai?verb=Identify,Found:OK,sanchezlauro@unex.es,Spain,0213-988X,2695-7728
Warszawskie Studia Teologiczne,https://www.czasopismowst.pl/index.php/wst/oai?verb=Identify,Found:OK,wst@akademiakatolicka.pl,Poland,0209-3782,2719-7530
Magister,https://reunido.uniovi.es/index.php/MSG/oai?verb=Identify,Found:OK,fernandezcarmen@uniovi.es,Spain,0212-6796,2340-4728
Arxiu d'Etnografia de Catalunya,https://revistes.urv.cat/index.php/aec/oai?verb=Identify,Found:OK,revistarxiu@gmail.com,Spain,0212-0372,2014-3885
Anales de Filología Francesa,http://revistas.um.es/analesff/oai?verb=Identify,Found:OK,revistaaff@um.es,Spain,0213-2958,1989-4678
Sagvntum,https://ojs.uv.es/index.php/saguntum//oai?verb=Identify,Found:OK,saguntum@uv.es,Spain,0210-3729,2174-517X
Perfiles Latinoamericanos,https://perfilesla.flacso.edu.mx/index.php/perfilesla/oai?verb=Identify,Found:OK,perfiles@flacso.edu.mx,Mexico,0188-7653,2309-4982
Anales de Geografía de la Universidad Complutense,https://revistas.ucm.es/index.php/AGUC/oai?verb=Identify,Found:OK,analesdegeografia@ghis.ucm.es,Spain,0211-9803,1988-2378
INFAD,https://revista.infad.eu/index.php/IJODAEP/oai?verb=Identify,Found:OK,revista@infad.eu,Spain,0214-9877,2603-5987
Cuadernos de Historia Moderna,https://revistas.ucm.es/index.php/CHMO//oai?verb=Identify,Found:OK,euridice@ucm.es,Spain,0214-4018,1988-2475
Jurnal Fitopatologi Indonesia,http://journal.ipb.ac.id/index.php/jfiti/oai?verb=Identify,Found:OK,srihendrastuti@apps.ipb.ac.id,Indonesia,0215-7950,2339-2479
